site,year,month,posts
0,2008,02,2
0,2008,03,2
0,2008,04,28
0,2008,05,24
0,2008,06,19
0,2008,10,3
0,2008,11,2
0,2009,01,13
0,2009,03,4
0,2009,04,67
0,2009,05,132
0,2009,06,217
0,2009,07,443
0,2009,08,743
0,2009,09,1042
0,2009,10,1160
0,2009,11,1734
0,2009,12,2818
0,2010,01,3204
0,2010,02,3484
0,2010,03,4255
0,2010,04,4750
0,2010,05,5474
0,2010,06,5819
0,2010,07,5505
0,2010,08,6688
0,2010,09,6330
0,2010,10,6579
0,2010,11,5750
0,2010,12,8100
0,2011,01,7821
0,2011,02,7140
0,2011,03,7653
0,2011,04,8598
0,2011,05,8260
0,2011,06,10189
0,2011,07,12486
0,2011,08,15753
0,2011,09,8588
0,2011,10,7779
0,2011,11,7514
0,2011,12,8323
0,2012,01,6913
0,2012,02,6721
0,2012,03,8714
0,2012,04,9266
0,2012,05,10578
0,2012,06,8519
0,2012,07,11266
0,2012,08,12988
0,2012,09,10515
0,2012,10,7405
0,2012,11,5788
0,2012,12,8007
0,2013,01,9071
0,2013,02,7463
0,2013,03,8494
0,2013,04,7947
0,2013,05,5050
0,2013,06,4411
0,2013,07,5055
0,2013,08,4742
0,2013,09,3626
0,2013,10,3797
0,2013,11,4369
0,2013,12,4000
0,2014,01,5474
0,2014,02,4007
0,2014,03,3801
0,2014,04,3144
0,2014,05,4109
0,2014,06,4085
0,2014,07,3137
0,2014,08,3641
0,2014,09,3292
0,2014,10,3282
0,2014,11,2806
0,2014,12,2636
0,2015,01,3326
0,2015,02,2757
0,2015,03,3501
0,2015,04,2566
0,2015,05,2261
0,2015,06,2198
0,2015,07,2392
0,2015,08,2498
0,2015,09,2186
0,2015,10,2355
0,2015,11,2246
0,2015,12,1974
0,2016,01,2008
0,2016,02,1747
0,2016,03,1545
0,2016,04,1946
0,2016,05,1713
0,2016,06,1552
0,2016,07,1886
0,2016,08,2122
0,2016,09,1848
0,2016,10,2463
0,2016,11,1506
0,2016,12,1313
0,2017,01,1204
0,2017,02,873
0,2017,03,979
0,2017,04,900
0,2017,05,739
0,2017,06,913
0,2017,07,656
0,2017,08,837
0,2017,09,714
0,2017,10,665
0,2017,11,412
0,2017,12,601
0,2018,01,820
0,2018,02,450
0,2018,03,555
0,2018,04,601
0,2018,05,740
0,2018,06,523
0,2018,07,428
0,2018,08,443
0,2018,09,170
0,2018,10,398
0,2018,11,325
0,2018,12,37
