site,year,month,posts
0,2007,11,1
0,2007,12,41
0,2008,01,43
0,2008,02,103
0,2008,03,90
0,2008,04,178
0,2008,05,263
0,2008,06,253
0,2008,07,162
0,2008,08,138
0,2008,09,196
0,2008,10,455
0,2008,11,434
0,2008,12,330
0,2009,01,724
0,2009,02,729
0,2009,03,1201
0,2009,04,2335
0,2009,05,2796
0,2009,06,4597
0,2009,07,6549
0,2009,08,10935
0,2009,09,13997
0,2009,10,10931
0,2009,11,17582
0,2009,12,24963
0,2010,01,40963
0,2010,02,50106
0,2010,03,63773
0,2010,04,67043
0,2010,05,75559
0,2010,06,71269
0,2010,07,84899
0,2010,08,90141
0,2010,09,74643
0,2010,10,77933
0,2010,11,74244
0,2010,12,86259
0,2011,01,96686
0,2011,02,94530
0,2011,03,102690
0,2011,04,116807
0,2011,05,114559
0,2011,06,147800
0,2011,07,191240
0,2011,08,202367
0,2011,09,124039
0,2011,10,110158
0,2011,11,100023
0,2011,12,117633
0,2012,01,121892
0,2012,02,111140
0,2012,03,126814
0,2012,04,127274
0,2012,05,127471
0,2012,06,136870
0,2012,07,154931
0,2012,08,147522
0,2012,09,120657
0,2012,10,122432
0,2012,11,105533
0,2012,12,123909
0,2013,01,138524
0,2013,02,108249
0,2013,03,114202
0,2013,04,125829
0,2013,05,109901
0,2013,06,104074
0,2013,07,109611
0,2013,08,102528
0,2013,09,82925
0,2013,10,90273
0,2013,11,105965
0,2013,12,117593
0,2014,01,121066
0,2014,02,98152
0,2014,03,102859
0,2014,04,113848
0,2014,05,120022
0,2014,06,110591
0,2014,07,109212
0,2014,08,109353
0,2014,09,88191
0,2014,10,93984
0,2014,11,93630
0,2014,12,95962
0,2015,01,103357
0,2015,02,90976
0,2015,03,96349
0,2015,04,87899
0,2015,05,89491
0,2015,06,90721
0,2015,07,89693
0,2015,08,81870
0,2015,09,79613
0,2015,10,86227
0,2015,11,89512
0,2015,12,99322
0,2016,01,102159
0,2016,02,84408
0,2016,03,86297
0,2016,04,83711
0,2016,05,91580
0,2016,06,88596
0,2016,07,85066
0,2016,08,79768
0,2016,09,73632
0,2016,10,86224
0,2016,11,80514
0,2016,12,78643
0,2017,01,78349
0,2017,02,66056
0,2017,03,66406
0,2017,04,63592
0,2017,05,50249
0,2017,06,46752
0,2017,07,59358
0,2017,08,64247
0,2017,09,58085
0,2017,10,55454
0,2017,11,40073
0,2017,12,51232
0,2018,01,43188
0,2018,02,36623
0,2018,03,41185
0,2018,04,40688
0,2018,05,40418
0,2018,06,45180
0,2018,07,44048
0,2018,08,45219
0,2018,09,22212
0,2018,10,22685
0,2018,11,26513
0,2018,12,3000
